Subpopulation,Indicator,NResp,Value,Estimate.P,LCB95Pct.P,UCB95Pct.P
Virginia,VSCIAll,86,45.95676618,17.62319855,14.03799177,21.20840534
Virginia,VSCIAll,87,45.98,17.68425791,14.09815631,21.27035951
Virginia,VSCIAll,88,46.055,18.20997096,14.56978262,21.85015929
Virginia,VSCIAll,89,46.20054834,18.33208968,14.68809792,21.97608144
Virginia,VSCIAll,90,46.275,18.45420839,14.80523811,22.10317868
Virginia,VSCIAll,91,46.30073155,18.97992144,15.29638843,22.66345445
Virginia,VSCIAll,92,46.68,19.15515912,15.47342898,22.83688926
Virginia,VSCIAll,93,46.68907088,19.24541814,15.557679,22.93315728
Virginia,VSCIAll,94,46.78989845,19.77113119,16.01983341,23.52242896
Virginia,VSCIAll,95,46.83719546,19.8932499,16.13729265,23.64920716
Virginia,VSCIAll,96,46.90739435,19.98350892,16.22517532,23.74184251
Virginia,VSCIAll,97,46.94877431,20.04023568,16.28073792,23.79973343
Virginia,VSCIAll,98,46.99381758,20.16235439,16.39971075,23.92499804
Virginia,VSCIAll,99,47.04,20.18990982,16.42687827,23.95294137
Virginia,VSCIAll,100,47.05900922,20.71562287,16.88683021,24.54441552
Virginia,VSCIAll,101,47.06767709,21.24133591,17.35948553,25.12318629
Virginia,VSCIAll,102,47.11105353,21.29806267,17.41568745,25.1804379
Virginia,VSCIAll,103,47.55384259,21.38832169,17.51083257,25.2658108
Virginia,VSCIAll,104,47.70668057,21.5104404,17.62701608,25.39386473
Virginia,VSCIAll,105,47.76034325,21.63255912,17.74218188,25.52293637
Virginia,VSCIAll,106,47.88,22.15827217,18.20102291,26.11552143
Virginia,VSCIAll,107,47.935,22.68398522,18.69334002,26.67463042
Virginia,VSCIAll,108,48.00258783,22.74071198,18.74913517,26.73228878
Virginia,VSCIAll,109,48.0320781,22.86283069,18.88820017,26.83746122
Virginia,VSCIAll,110,48.12623032,22.89038612,18.91474172,26.86603051
Virginia,VSCIAll,111,48.43329191,23.01250483,19.04298024,26.98202943
Virginia,VSCIAll,112,48.74848394,23.06923159,19.09703515,27.04142804
Virginia,VSCIAll,113,48.775,23.24446928,19.26232599,27.22661256
Virginia,VSCIAll,114,48.77848121,23.77018232,19.74678236,27.79358228
Virginia,VSCIAll,115,49.061766,23.82690908,19.80223497,27.85158319
Virginia,VSCIAll,116,49.34825085,23.85446451,19.83174239,27.87718662
Virginia,VSCIAll,117,49.42543261,23.91119126,19.88994237,27.93244016
Virginia,VSCIAll,118,49.55747253,24.00145028,19.98015272,28.02274783
Virginia,VSCIAll,119,49.63596747,24.0290057,20.00739607,28.05061534
Virginia,VSCIAll,120,49.73,24.55471875,20.49207504,28.61736246
Virginia,VSCIAll,121,49.885,24.61144551,20.54588215,28.67700887
Virginia,VSCIAll,122,49.94672063,24.73356423,20.66389943,28.80322902
Virginia,VSCIAll,123,49.975,24.85568295,20.7826486,28.92871729
Virginia,VSCIAll,124,49.98,24.9124097,20.83851331,28.98630609
Virginia,VSCIAll,125,49.98501439,25.43812275,21.35214988,29.52409562
Virginia,VSCIAll,126,50.00217077,25.56024147,21.47103076,29.64945218
Virginia,VSCIAll,127,50.03,25.82309799,21.71556857,29.93062742
Virginia,VSCIAll,128,50.36,25.85065342,21.742662,29.95864483
Virginia,VSCIAll,129,50.45297794,25.97277213,21.86712262,30.07842165
Virginia,VSCIAll,130,50.46,26.09489085,21.98715385,30.20262786
Virginia,VSCIAll,131,50.51,26.21700957,22.10845969,30.32555945
Virginia,VSCIAll,132,50.52330462,26.30726859,22.1923073,30.42222988
Virginia,VSCIAll,133,50.64,26.3975276,22.27817274,30.51688246
Virginia,VSCIAll,134,50.69802474,26.48778661,22.36555288,30.61002035
Virginia,VSCIAll,135,50.73,26.75064314,22.61497593,30.88631035
Virginia,VSCIAll,136,50.755,26.87276186,22.73040491,31.0151188
Virginia,VSCIAll,137,50.86982256,27.3984749,23.21012925,31.58682056
Virginia,VSCIAll,138,50.89,27.92418795,23.69678652,32.15158938
Virginia,VSCIAll,139,51.11354906,28.01444697,23.78879938,32.24009455
Virginia,VSCIAll,140,51.2091701,28.10470598,23.88658597,32.32282599
Virginia,VSCIAll,141,51.34,28.63041903,24.38034672,32.88049133
Virginia,VSCIAll,142,51.34422625,28.72067804,24.47155812,32.96979796
Virginia,VSCIAll,143,51.35451172,28.81093706,24.55737029,33.06450382
Virginia,VSCIAll,144,51.35508817,28.8516433,24.59677677,33.10650982
Virginia,VSCIAll,145,51.41657511,28.94190231,24.68597786,33.19782676
Virginia,VSCIAll,146,51.71,29.03216133,24.77422353,33.29009912
Virginia,VSCIAll,147,52.01,29.15428004,24.8946168,33.41394329
Virginia,VSCIAll,148,52.13399529,29.24453906,24.98431065,33.50476747
Virginia,VSCIAll,149,52.24142857,29.30126582,25.04467195,33.55785969
Virginia,VSCIAll,150,52.25,29.42338454,25.16535186,33.68141721
Virginia,VSCIAll,151,52.255,29.45093996,25.19275483,33.70912509
Virginia,VSCIAll,152,52.36,29.57305868,25.32188037,33.82423698
